"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 12:46:53 MSK 2021","Wed Aug 18 12:46:55 MSK 2021","1975","","test.test_delete_group","","test.test_delete_group","test_delete_group","test_delete_group",""
"passed","Wed Aug 18 12:46:49 MSK 2021","Wed Aug 18 12:46:53 MSK 2021","3634","","test.test_add_group","","test.test_add_group","test_add_group","test_add_group",""
